id;left;top;right;bottom;row_index;col_index;field_1;PC1;PC2;PC3;PC4;PC5;PC6;typology;city;z_distance;q_cluster;lst_mean;solar_summ;solar_wint;pm10_mean;pm25_mean;no2_mean;noiseday_m;noisenight;bin_lst_me;bin_solar_;bin_sola_1;bin_pm10_m;bin_pm25_m;bin_no2_me;bin_noised;bin_noisen;City;Building height;Height varability;Sky view factor;Frontal area index;Water cover fraction;Impervious surface cover fraction;Building cover fraction;Pervious surface cover fraction;Aspect ratio;Intersections;Length N-S;Length NE-SW;Length SE-NW;Length E-W;Length primary road;Length highway;Length secondary road;Length railway;Neighbourhood type
115;2498473,99;1117389,101;2498723,99;1117139,101;14;4;1377;0,294027947;0,589301302;-0,256893902;0,515614162;1,447811558;-0,154036815;I;geneva;1,698666108;(1.48,2];-1,187902532;1,182975705;1,121126375;0,967700505;0,837536038;0,770861462;-0,480536328;-0,595932915;(-2.4,-0.699];(0.658,2.84];(0.529,3.4];(0.673,2.38];(0.689,2.65];(0.698,3.07];(-0.657,0.0621];(-0.65,0.106];geneva;8,540153261;4,515;0,46529433;0,007;0,232;0,005;0,009;0,754;0,129;1;15,67;29,05;0;318,99;0;0;363,71;0;S-D
129;2498723,99;1120139,101;2498973,99;1119889,101;3;5;1378;0,419268853;1,387341841;0,108293691;-1,25669384;0,435291987;0,012330771;G;geneva;1,970061382;(1.48,2];0,714194697;0,299454136;0,397667331;-1,08896027;-1,126391048;-0,835335539;-0,51084713;-1,203416;(-0.0567,0.716];(-0.0457,0.658];(-0.31,0.529];(-2.17,-0.717];(-1.73,-0.731];(-2.33,-0.72];(-0.657,0.0621];(-2.55,-0.65];geneva;9,290229581;4,111;0,593927169;0,148;0;0,229;0,209;0,562;0,261;6;0;375,95;473,73;21,82;0;0;871,5;0;G-E
130;2498723,99;1119889,101;2498973,99;1119639,101;4;5;1379;0,832780949;2,152465257;0,472249974;-1,149449822;-0,21283304;-0,414947566;D;geneva;2,662398375;(2.66,11.4];-1,046848851;1,114119017;-0,252070297;-0,901353928;-1,025811255;-0,869388644;-1,237058115;-1,207919551;(-2.4,-0.699];(0.658,2.84];(-0.31,0.529];(-2.17,-0.717];(-1.73,-0.731];(-2.33,-0.72];(-2.7,-0.657];(-2.55,-0.65];geneva;24,88261662;7,88;0,497544914;0,249;0;0,26;0,166;0,574;0,646;5;0;215,77;574,83;0;0;0;790,6;0;G-E
131;2498723,99;1119639,101;2498973,99;1119389,101;5;5;1380;0,649301894;0,212746018;-2,288617047;-0,806105141;1,923171238;3,504967058;G;geneva;4,726289136;(2.66,11.4];-0,589262636;1,243377587;1,698093023;-0,730822714;-0,709019374;-0,673170836;0,423801471;0,435595588;(-0.699,-0.0567];(0.658,2.84];(0.529,3.4];(-2.17,-0.717];(-0.731,-0.152];(-0.72,-0.0796];(0.0621,0.737];(0.106,0.611];geneva;22,15043454;11,003;0,603718122;0,04;0;0,076;0,072;0,852;0,318;5;103,36;312,23;214,32;0;0;0;629,91;0;G-E
132;2498723,99;1119389,101;2498973,99;1119139,101;6;5;1381;-1,28372732;0,482248119;-0,159724476;-0,454135239;-0,037098277;0,89872695;G;geneva;1,709197536;(1.48,2];0,283659741;0,313576111;-0,695556086;-0,028428904;-0,148276422;0,132333668;0,938793406;1,449208039;(-0.0567,0.716];(-0.0457,0.658];(-0.722,-0.31];(-0.162,0.673];(-0.152,0.689];(-0.0796,0.698];(0.737,2.34];(0.611,2.66];geneva;15,47511885;7,38;0,589116251;0,092;0;0,482;0,155;0,363;0,31;11;125,36;168,33;577,89;165,2;0;0;1036,78;0;S-C
133;2498723,99;1119139,101;2498973,99;1118889,101;7;5;1382;1,486634628;-0,246282076;-0,572585962;-0,584691835;0,021510614;1,547406664;A;geneva;2,3098456;(2,2.66];-0,96551129;0,768480991;0,832446006;-0,810035136;-0,969956202;-0,581098283;-0,432171756;0,341242348;(-2.4,-0.699];(0.658,2.84];(0.529,3.4];(-2.17,-0.717];(-1.73,-0.731];(-0.72,-0.0796];(-0.657,0.0621];(0.106,0.611];geneva;19,51198852;9,563;0,497820984;0,307;0;0,648;0,236;0,116;0,459;5;29,34;133,83;733,36;0;963,96507;0;0;0;G-D
134;2498723,99;1118889,101;2498973,99;1118639,101;8;5;1383;-1,494978193;0,555542823;0,353321131;-0,185855225;-0,44919799;-0,006494613;B;geneva;1,704343459;(1.48,2];0,37911971;0,773864149;1,467234023;0,468600886;0,152672787;0,580240423;0,531991271;0,741963433;(-0.0567,0.716];(0.658,2.84];(0.529,3.4];(-0.162,0.673];(-0.152,0.689];(-0.0796,0.698];(0.0621,0.737];(0.611,2.66];geneva;20,8699086;7,337;0,492314121;0,325;0;0,705;0,274;0,021;0,549;19;306,16;710,76;773,17;77,15;0;0;1867,24;0;S-A
135;2498723,99;1118639,101;2498973,99;1118389,101;9;5;1384;-0,685288602;0,619783616;-0,143353802;-0,452237874;-0,132419412;0,495183946;C;geneva;1,158258886;(0.312,1.48];-0,081124452;0,972818996;1,239452934;-0,412617325;-0,479572865;-0,211813067;-0,123339949;0,036206996;(-0.699,-0.0567];(0.658,2.84];(0.529,3.4];(-0.717,-0.162];(-0.731,-0.152];(-0.72,-0.0796];(-0.657,0.0621];(-0.65,0.106];geneva;21,97251408;5,769;0,477933527;0,393;0;0,626;0,247;0,127;0,653;15;539,99;169,27;165,7;445,98;0;0;1320,94;0;G-B
136;2498723,99;1118389,101;2498973,99;1118139,101;10;5;1385;0,578931133;-1,967042975;-1,949621056;0,972466005;0,990568594;-0,249002777;A;geneva;3,16138581;(2.66,11.4];0,23157046;0,48604947;0,946514801;0,429346524;0,221853725;0,373894775;0,946668101;1,207279582;(-0.0567,0.716];(-0.0457,0.658];(0.529,3.4];(-0.162,0.673];(-0.152,0.689];(-0.0796,0.698];(0.737,2.34];(0.611,2.66];geneva;18,16458901;9,187;0,531929543;0,335;0;0,685;0,31;0,005;0,525;12;555,72;89,69;181,2;288,65;1337,463525;0;0;0;S-B
137;2498723,99;1118139,101;2498973,99;1117889,101;11;5;1386;0,053522078;1,376564458;1,849068931;1,602666547;-2,517597377;1,512945529;A;geneva;4,063581059;(2.66,11.4];-0,102898402;0,851781439;1,095331706;-0,99357414;-1,469258082;-0,922320138;-1,439675313;-1,462446801;(-0.699,-0.0567];(0.658,2.84];(0.529,3.4];(-2.17,-0.717];(-1.73,-0.731];(-2.33,-0.72];(-2.7,-0.657];(-2.55,-0.65];geneva;20,40959872;7,925;0,528246968;0,252;0;0,77;0,23;0;0,519;14;179,66;384,11;460,49;630,59;923,922513;0;730,927487;0;S-B
